Material,Data de remessa mais recente,Soma de Saldo,Último UM pedido,Primeiro Fornecedor
26467-209,2023-07-05 00:00:00,274,PC,DE PAULA CONEXÕES LTDA - E.P.P.
26467-213,2023-07-05 00:00:00,579,PC,CONECTHER IND. DE CHICOTES ELET. LT
26467-215,2023-07-05 00:00:00,262,PC,DE PAULA CONEXÕES LTDA - E.P.P.
26467-219,2023-07-05 00:00:00,355,PC,DE PAULA CONEXÕES LTDA - E.P.P.
26467-224,2023-07-03 00:00:00,454,PC,CONECTHER IND. DE CHICOTES ELET. LT
26514-011,2023-07-05 00:00:00,177,PC,BSG COMPONENTES ELETRO ELET. LTDA
26638-213,2023-07-05 00:00:00,73,PC,SOB SCHURTER OKW DO BRASIL COMP. EL
26638-232,2023-07-05 00:00:00,299,PC,SOB SCHURTER OKW DO BRASIL COMP. EL
26638-239,2023-07-05 00:00:00,734,PC,SOB SCHURTER OKW DO BRASIL COMP. EL
26638-240,2023-07-05 00:00:00,280,PC,KALATEC AUTOMAÇÃO LTDA
26650-038,2023-07-05 00:00:00,500,PC,MAR GIRIUS CONT.I.C.ELET.LT
26897-210,2023-07-05 00:00:00,2098,PC,CONECTHER IND. DE CHICOTES ELET. LT
26911-203,2023-07-05 00:00:00,434,PC,IMATEC COMERCIAL LTDA - ME
26941-005,2023-07-05 00:00:00,2000,PC,BSG COMPONENTES ELETRO ELET. LTDA
26993-216,2023-07-05 00:00:00,1000,PC,AHM SOLUTION DO BRASIL LTDA.
28003-172,2023-07-05 00:00:00,930,PC,CALDENSE EMBALAGENS LTDA
28990-001,2023-07-05 00:00:00,1,PC,NEW KRAFT IND.COM.EMBL.PAP.LTD
30300013552,2023-07-05 00:00:00,10,MIL,ONZEONZE AUTOADESIVOS TEC.E PROM. L
30300038710,2023-07-05 00:00:00,11,MIL,ONZEONZE AUTOADESIVOS TEC.E PROM. L
30300046850,2023-07-03 00:00:00,40,UN,ROBERT BOSCH LTDA.
30300049830,2023-07-05 00:00:00,125,KG,TECNOFIO IND COM DE FIOS LTDA
30300050996,2023-07-05 00:00:00,668,UN,DE PAULA CONEXÕES LTDA - E.P.P.
30300051056,2023-07-05 00:00:00,150,UN,WATTERNES COMERCIO DE RESISTENCIA E
30300051057,2023-07-05 00:00:00,12,UN,WATTERNES COMERCIO DE RESISTENCIA E
30300051060,2023-07-05 00:00:00,552,UN,DE PAULA CONEXÕES LTDA - E.P.P.
30300051085,2023-07-03 00:00:00,356,UN,CNM Chicotes Elétricos Ltda
30300051105,2023-07-05 00:00:00,677,UN,DE PAULA CONEXÕES LTDA - E.P.P.
30300051106,2023-07-05 00:00:00,572,UN,DE PAULA CONEXÕES LTDA - E.P.P.
30300051107,2023-07-05 00:00:00,602,UN,DE PAULA CONEXÕES LTDA - E.P.P.
30300051454,2023-07-05 00:00:00,300,UN,NASCIMETAL INDUSTRIA METALURGICA LT
30300051522,2023-07-03 00:00:00,220,KG,SAO MARCO INDUSTRIA E COMERCIO LTDA
30300051523,2023-07-05 00:00:00,140,KG,SAO MARCO INDUSTRIA E COMERCIO LTDA
30300051525,2023-07-05 00:00:00,180,KG,SAO MARCO INDUSTRIA E COMERCIO LTDA
30300051536,2023-07-03 00:00:00,16,KG,SAO MARCO INDUSTRIA E COMERCIO LTDA
30300051766,2023-07-05 00:00:00,150,UN,DE PAULA CONEXÕES LTDA - E.P.P.
30300051845,2023-07-05 00:00:00,1200,UN,BRINDEC EMBLEMAS E ACABAMENTOS
30300051990,2023-07-05 00:00:00,13,KG,SAO MARCO INDUSTRIA E COMERCIO LTDA
30300052657,2023-07-05 00:00:00,335,UN,DE PAULA CONEXÕES LTDA - E.P.P.
30300052992,2023-07-05 00:00:00,538,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
30300053205,2023-07-03 00:00:00,520,UN,WATTERNES COMERCIO DE RESISTENCIA E
30300053206,2023-07-05 00:00:00,600,UN,WATTERNES COMERCIO DE RESISTENCIA E
30300053433,2023-07-05 00:00:00,764,UN,CONECTHER IND. DE CHICOTES ELET. LT
30300053434,2023-07-05 00:00:00,820,PC,CNM Chicotes Elétricos Ltda
30300053951,2023-07-03 00:00:00,1400,UN,ROBERT BOSCH LTDA.
30300054246,2023-07-05 00:00:00,250,UN,CNM Chicotes Elétricos Ltda
30300054346,2023-07-05 00:00:00,871,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
30300054399,2023-07-05 00:00:00,400,UN,CONECTHER IND. DE CHICOTES ELET. LT
30300054955,2023-07-03 00:00:00,245,UN,CONECTHER IND. DE CHICOTES ELET. LT
30302000265,2023-07-05 00:00:00,58,PC,ROBINSON POMBO GLORIA
30302000475,2023-07-05 00:00:00,557,PC,ROBINSON POMBO GLORIA
30302001602,2023-07-03 00:00:00,1550,UN,KAP COMPONENTES ELETRICOS LTDA
30302002840,2023-07-05 00:00:00,1390,UN,MAR GIRIUS CONT.I.C.ELET.LT
30302002850,2023-07-05 00:00:00,2,UN,MAR GIRIUS CONT.I.C.ELET.LT
